[0.000000] (-) TimerEvent: {}
[0.000090] (-) JobUnselected: {'identifier': 'costmap_queue'}
[0.000113] (-) JobUnselected: {'identifier': 'dwb_core'}
[0.000141] (-) JobUnselected: {'identifier': 'dwb_critics'}
[0.000167] (-) JobUnselected: {'identifier': 'dwb_msgs'}
[0.000187] (-) JobUnselected: {'identifier': 'dwb_plugins'}
[0.000202] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.000216] (-) JobUnselected: {'identifier': 'nav2_behavior_tree'}
[0.000230] (-) JobUnselected: {'identifier': 'nav2_behaviors'}
[0.000243] (-) JobUnselected: {'identifier': 'nav2_bringup'}
[0.000256] (-) JobUnselected: {'identifier': 'nav2_bt_navigator'}
[0.000270] (-) JobUnselected: {'identifier': 'nav2_collision_monitor'}
[0.000283] (-) JobUnselected: {'identifier': 'nav2_common'}
[0.000296] (-) JobUnselected: {'identifier': 'nav2_constrained_smoother'}
[0.000309] (-) JobUnselected: {'identifier': 'nav2_controller'}
[0.000322] (-) JobUnselected: {'identifier': 'nav2_core'}
[0.000335] (-) JobUnselected: {'identifier': 'nav2_costmap_2d'}
[0.000348] (-) JobUnselected: {'identifier': 'nav2_costmap_filters_demo'}
[0.000361] (-) JobUnselected: {'identifier': 'nav2_dwb_controller'}
[0.000373] (-) JobUnselected: {'identifier': 'nav2_gradient_costmap_plugin'}
[0.000390] (-) JobUnselected: {'identifier': 'nav2_lifecycle_manager'}
[0.000403] (-) JobUnselected: {'identifier': 'nav2_map_server'}
[0.000416] (-) JobUnselected: {'identifier': 'nav2_mppi_controller'}
[0.000429] (-) JobUnselected: {'identifier': 'nav2_msgs'}
[0.000442] (-) JobUnselected: {'identifier': 'nav2_navfn_planner'}
[0.000454] (-) JobUnselected: {'identifier': 'nav2_planner'}
[0.000467] (-) JobUnselected: {'identifier': 'nav2_regulated_pure_pursuit_controller'}
[0.000480] (-) JobUnselected: {'identifier': 'nav2_rotation_shim_controller'}
[0.000493] (-) JobUnselected: {'identifier': 'nav2_rviz_plugins'}
[0.000506] (-) JobUnselected: {'identifier': 'nav2_simple_commander'}
[0.000519] (-) JobUnselected: {'identifier': 'nav2_smac_planner'}
[0.000532] (-) JobUnselected: {'identifier': 'nav2_smoother'}
[0.000545] (-) JobUnselected: {'identifier': 'nav2_sms_behavior'}
[0.000557] (-) JobUnselected: {'identifier': 'nav2_straightline_planner'}
[0.000570] (-) JobUnselected: {'identifier': 'nav2_system_tests'}
[0.000583] (-) JobUnselected: {'identifier': 'nav2_theta_star_planner'}
[0.000596] (-) JobUnselected: {'identifier': 'nav2_util'}
[0.000609] (-) JobUnselected: {'identifier': 'nav2_velocity_smoother'}
[0.000621] (-) JobUnselected: {'identifier': 'nav2_voxel_grid'}
[0.000634] (-) JobUnselected: {'identifier': 'nav2_waypoint_follower'}
[0.000647] (-) JobUnselected: {'identifier': 'nav_2d_msgs'}
[0.000660] (-) JobUnselected: {'identifier': 'nav_2d_utils'}
[0.000672] (-) JobUnselected: {'identifier': 'navigation2'}
[0.000685] (-) JobUnselected: {'identifier': 'sam_bot_description'}
[0.000699] (-) EventReactorShutdown: {}
