[0.000000] (-) TimerEvent: {}
[0.000100] (-) JobUnselected: {'identifier': 'costmap_queue'}
[0.000153] (-) JobUnselected: {'identifier': 'dwb_core'}
[0.000187] (-) JobUnselected: {'identifier': 'dwb_critics'}
[0.000202] (-) JobUnselected: {'identifier': 'dwb_msgs'}
[0.000216] (-) JobUnselected: {'identifier': 'dwb_plugins'}
[0.000230] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.000244] (-) JobUnselected: {'identifier': 'nav2_behavior_tree'}
[0.000265] (-) JobUnselected: {'identifier': 'nav2_behaviors'}
[0.000291] (-) JobUnselected: {'identifier': 'nav2_bringup'}
[0.000307] (-) JobUnselected: {'identifier': 'nav2_bt_navigator'}
[0.000321] (-) JobUnselected: {'identifier': 'nav2_collision_monitor'}
[0.000335] (-) JobUnselected: {'identifier': 'nav2_common'}
[0.000349] (-) JobUnselected: {'identifier': 'nav2_constrained_smoother'}
[0.000363] (-) JobUnselected: {'identifier': 'nav2_controller'}
[0.000377] (-) JobUnselected: {'identifier': 'nav2_core'}
[0.000391] (-) JobUnselected: {'identifier': 'nav2_costmap_2d'}
[0.000404] (-) JobUnselected: {'identifier': 'nav2_dwb_controller'}
[0.000426] (-) JobUnselected: {'identifier': 'nav2_lifecycle_manager'}
[0.000451] (-) JobUnselected: {'identifier': 'nav2_map_server'}
[0.000512] (-) JobUnselected: {'identifier': 'nav2_mppi_controller'}
[0.000528] (-) JobUnselected: {'identifier': 'nav2_msgs'}
[0.000542] (-) JobUnselected: {'identifier': 'nav2_navfn_planner'}
[0.000556] (-) JobUnselected: {'identifier': 'nav2_planner'}
[0.000570] (-) JobUnselected: {'identifier': 'nav2_regulated_pure_pursuit_controller'}
[0.000584] (-) JobUnselected: {'identifier': 'nav2_rotation_shim_controller'}
[0.000598] (-) JobUnselected: {'identifier': 'nav2_rviz_plugins'}
[0.000612] (-) JobUnselected: {'identifier': 'nav2_simple_commander'}
[0.000625] (-) JobUnselected: {'identifier': 'nav2_smac_planner'}
[0.000639] (-) JobUnselected: {'identifier': 'nav2_smoother'}
[0.000652] (-) JobUnselected: {'identifier': 'nav2_system_tests'}
[0.000665] (-) JobUnselected: {'identifier': 'nav2_theta_star_planner'}
[0.000679] (-) JobUnselected: {'identifier': 'nav2_util'}
[0.000692] (-) JobUnselected: {'identifier': 'nav2_velocity_smoother'}
[0.000712] (-) JobUnselected: {'identifier': 'nav2_voxel_grid'}
[0.000739] (-) JobUnselected: {'identifier': 'nav2_waypoint_follower'}
[0.000758] (-) JobUnselected: {'identifier': 'nav_2d_msgs'}
[0.000773] (-) JobUnselected: {'identifier': 'nav_2d_utils'}
[0.000787] (-) JobUnselected: {'identifier': 'navigation2'}
[0.000801] (-) JobUnselected: {'identifier': 'sam_bot_description'}
[0.000829] (-) EventReactorShutdown: {}
